Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,0.918,4.067,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,0.394,4.067,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 1,1,7,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 2,8,14,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 3,15,21,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,3.893,40.225,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 1,1,7,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 2,8,14,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 3,15,21,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 4,22,28,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 5,29,31,0.096774,0.01,0.108,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 1,1,7,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 2,8,14,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 3,15,21,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 4,22,28,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 5,29,31,0.096774,2.386,24.657,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,0.287,2.963,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,0.944,4.181,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,0.944,4.181,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,0.944,4.181,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,0.944,4.181,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,0.405,4.181,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,July,Week 1,1,7,0.225806,0.674,2.985,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,July,Week 2,8,14,0.225806,0.674,2.985,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,July,Week 3,15,21,0.225806,0.674,2.985,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,July,Week 4,22,28,0.225806,0.674,2.985,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,July,Week 5,29,31,0.096774,0.289,2.985,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,July,Week 1,1,7,0.225806,26.51,117.4,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,July,Week 2,8,14,0.225806,26.51,117.4,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,July,Week 3,15,21,0.225806,26.51,117.4,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,July,Week 4,22,28,0.225806,26.51,117.4,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,July,Week 5,29,31,0.096774,11.361,117.4,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,July,Week 1,1,7,0.225806,55.797,247.103,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,July,Week 2,8,14,0.225806,55.797,247.103,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,July,Week 3,15,21,0.225806,55.797,247.103,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,July,Week 4,22,28,0.225806,55.797,247.103,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,July,Week 5,29,31,0.096774,23.913,247.103,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,July,Week 1,1,7,0.225806,0.006,0.028,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,July,Week 2,8,14,0.225806,0.006,0.028,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,July,Week 3,15,21,0.225806,0.006,0.028,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,July,Week 4,22,28,0.225806,0.006,0.028,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,July,Week 5,29,31,0.096774,0.003,0.028,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,July,Week 1,1,7,0.225806,11.095,49.133,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,July,Week 2,8,14,0.225806,11.095,49.133,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,July,Week 3,15,21,0.225806,11.095,49.133,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,July,Week 4,22,28,0.225806,11.095,49.133,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,July,Week 5,29,31,0.096774,4.755,49.133,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,July,Week 1,1,7,0.225806,0.007,0.032,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,July,Week 2,8,14,0.225806,0.007,0.032,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,July,Week 3,15,21,0.225806,0.007,0.032,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,July,Week 4,22,28,0.225806,0.007,0.032,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,July,Week 5,29,31,0.096774,0.003,0.032,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,July,Week 1,1,7,0.225806,1.097,4.856,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,July,Week 2,8,14,0.225806,1.097,4.856,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,July,Week 3,15,21,0.225806,1.097,4.856,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,July,Week 4,22,28,0.225806,1.097,4.856,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,July,Week 5,29,31,0.096774,0.47,4.856,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,July,Week 1,1,7,0.225806,2.173,9.624,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,July,Week 2,8,14,0.225806,2.173,9.624,calendar_day_share
